PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
dead cell count,dead count,cell-counting,result,Dead cell count is a cell counter result data that states the number of dead cells that were counted in the cell counting assay. [Allotrope],,,,cell counter result datum,http://purl.allotrope.org/ontologies/result#AFR_0002048
dead cell count (quality),dead cell count,cell-counting,quality,Dead cell count is the cell count of the partition of dead cells. [Allotrope],,,,cell count,http://purl.allotrope.org/ontologies/quality#AFQ_0000187
dead cell density (cell counter),dead density; dead cell density,cell-counting,result,Dead cell density is a cell counter result data that quantifies the number density of the dead cells in the sample in the cell counting assay. [Allotrope],,,,cell counter result datum,http://purl.allotrope.org/ontologies/result#AFR_0002865
dead cell density (quality),dead cell density,cell-counting,quality,Dead cell density is the cell density of the partition of dead cells. [Allotrope],,,,cell density,http://purl.allotrope.org/ontologies/quality#AFQ_0000361
debris role,debris,aft,role,Debris is a role of material to be waste. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000221
deciding,,aft,process,Deciding is making a choice from a set of alternatives. [Allotrope],,,,producing,http://purl.allotrope.org/ontologies/process#AFP_0003644
decision,,aft,result,A decision is a proposition that is a choice made from a set of alternative propositions. [Allotrope],,,,proposition,http://purl.allotrope.org/ontologies/result#AFR_0001494
decreasing quality process profile,,afo,process,An decreasing quality process profile is a quality process profile where the tracked determinate quality is continuously decreasing in magnitude. [Allotrope],,,,proper changing quality process profile,http://purl.allotrope.org/ontologies/process#AFP_0003820
decrementing,decrementing magnitude,aft,process,Decrementing is reducing the magnitude of a quality in a predetermined and fixed manner. [Allotrope],,,,changing,http://purl.allotrope.org/ontologies/process#AFP_0003367
dedusting,,aft,process,Dedusting is the process of removal of dust. [Allotrope],,,,cleaning,http://purl.allotrope.org/ontologies/process#AFP_0002683
default condition,fallback; default; fallback condition,aft,result,A default condition is a condition that is member of a set of conditions that is always true if all others conditions in the collections are false. [Allotrope],There must be no more than one default condition in any collection of conditions.,,A default value in a conditional parameter specification. [Allotrope],condition,http://purl.allotrope.org/ontologies/result#AFR_0001968
default condition role,fallback; default role; default; fallback condition; fallback condition role; default condition; fallback role,aft,role,A default condition role is the condition role of an item in a collection of information content entities that applies (is true) if no other items apply (are false). [Allotrope],,,,condition role,http://purl.allotrope.org/ontologies/role#AFRL_0000519
default role,fallback; default; fallback role,aft,role,A default role is a directive purpose that assigns a specification to be applied to a context if no other specification is asserted in that context. [Allotrope],,,,directive purpose,http://purl.allotrope.org/ontologies/role#AFRL_0000520
default transition,,aft,role,An default transition is a successor role in the scope of an exclusive gateway that specifies the succeeding activity if no guard conditions on the gateway are met. [Allotrope],,,,successor role,http://purl.allotrope.org/ontologies/role#AFRL_0000473
defining purpose,definition role; defining role,aft,role,Defining purpose is the contextual role of some information that has the purpose to define an entity. [Allotrope],,,,contextual role,http://purl.allotrope.org/ontologies/role#AFRL_0000466
definition,,aft,result,A definition is a proposition that succinctly characterizes an entity. [Allotrope],,,,proposition,http://purl.allotrope.org/ontologies/result#AFR_0001561
deflecting,deflection,aft,process,"A deflection, in physics, refers to the change in an objects' acceleration as a consequence of contact (collision) with a surface or the influence of a field. [Wikipedia]",,https://en.wikipedia.org/wiki/Deflection_(physics),,moving,http://purl.allotrope.org/ontologies/process#AFP_0003595
degassed sample weight,,afo,result,A degassed sample weight is the sample weight of a sample after it has gone through a degassing process. [Allotrope],,,,sample weight,http://purl.allotrope.org/ontologies/result#AFR_0002112
degasser,,aft,equipment,A degasser is a device to remove gasses from a fluid which could otherwise form bubbles. [Wikipedia],,,,separation device,http://purl.allotrope.org/ontologies/equipment#AFE_0000587
degassing,degasification; degas,aft,process,Degassing is a sample preparation process whereby the adsorbed (dissolved) gas is removed from a solid or liquid. [Allotrope],,,,removing,http://purl.allotrope.org/ontologies/process#AFP_0000593
degradation,,aft,process,"Degradation is the state of changing in the qualities of a material under the influence of one or more environmental factors such as heat, light or chemicals such as acids, alkalies and some salts to a lower level of quality. [Allotrope]",,,,state,http://purl.allotrope.org/ontologies/process#AFP_0003641
degradation product role,degradation product,aft,role,"A degradation product is an impurity resulting from a chemical change in the drug substance brought about during manufacture and/or storage of the new drug product by the effect of, for example, light, temperature, pH, water, or by reaction with an excipient and/or the immediate container closure system. [ICH-Q3B]",,,,impurity role,http://purl.allotrope.org/ontologies/role#AFRL_0000365
delay,time offset,aft,result,A delay is a process property that describes a difference in time between a process boundary and some other point in time. [Allotrope],,,,process property,http://purl.allotrope.org/ontologies/result#AFR_0001625
delay time setting (hot tack),,hot-tack,result,A delay time setting (hot tack) is a control setting that specifies the duration between opening of the grips and removal of the sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002726
delivering material,importing material,afo,process,Delivering material is the importing of material to a location or site. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003575
denaturing,,afo,process,Denaturing is the process of partial or total alteration of the native structure of a macromolecule resulting from the loss of tertiary or tertiary and secondary structure that is a consequence of the disruption of stabilizing weak bonds. [IUPAC],,"IUPAC. Compendium of Chemical Terminology, 2nd ed. (the ""Gold Book""). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).",,,http://purl.allotrope.org/ontologies/process#AFP_0003840
denaturing duration setting,,pcr,result,A denaturing duration setting is a duration setting that specifies the intended duration of some denaturing process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002903
denaturing temperature setting,,pcr,result,A denaturing temperature setting is a temperature setting that specifies the intended temperature of some denaturing process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002902
denominator,,aft,role,Denominator is the conceptual role of a scalar that indicates the number of equal parts into which the unit is divided. [Allotrope],,,,term mathematical role,http://purl.allotrope.org/ontologies/role#AFRL_0000006
denoting,,aft,process,Denoting is a process that assigns a symbol to an entity in order to reference it. [Allotrope],,,,producing,http://purl.allotrope.org/ontologies/process#AFP_0003583
densitometry,densiometry; densitometric measurements; densiometric measurements,aft,process,The measurement of the density of a sample. [CHMO],,,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0001666
density of theoretical plates (chromatography),plate density,chromatography,result,A density of theoretical plates (chromatography) is a chromatography peak facet that measures the amount of band broadening normalized per length unit that occurs during the separation and thus the efficiency of the chromatographic system. [Allotrope],,,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0002520
departure,,aft,process,Departure is the achievement of leaving the source site in a moving process. [Allotrope],,,,achievement,http://purl.allotrope.org/ontologies/process#AFP_0003408
dependent variable,,aft,role,A dependent variable is a contextual role of an information artifact that represents the outputs or outcomes whose variation is being studied. [Wikipedia],,https://en.wikipedia.org/wiki/Dependent_and_independent_variables,,variable,http://purl.allotrope.org/ontologies/role#AFRL_0000077
depth (quality),depth,aft,"",A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision. [PATO],,,,1-D extent,http://purl.obolibrary.org/obo/PATO_0001595
derivation record dataset,,audit,audit,A derivation record dataset is an audit record dataset that contains the metadata and data that is needed to record derivations on an electronic record in an activity. [Allotrope],,,,audit record dataset,http://purl.allotrope.org/ontologies/audit#DerivationRecordDataset
derived electropherogram,,electrophoresis,result,A derived electropherogram is derived from the outcome of an electrophoresis run and reports the response of the detector as a function of a derived unit. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003019
derived electropherogram data cube,,electrophoresis,result,A derived electropherogram data cube is a data cube that represents a derived electropherogram. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003020
derived measure,,aft,role,A derived measure is a measure that is the outcome of some indirect measurement. The derived value is derived from base measures by calculations following a formula or algorithm. [Allotrope],,,,measure,http://purl.allotrope.org/ontologies/role#AFRL_0000155
describing,,aft,process,"Describing is a process by which an account of some relevant characteristics, qualities or events of an entity are given or presented. [Allotrope]",,,,producing,http://purl.allotrope.org/ontologies/process#AFP_0003584
description,,aft,result,A description is a proposition about an existing entity. [Allotrope],,,,proposition,http://purl.allotrope.org/ontologies/result#AFR_0000922
descriptive purpose,description; description role,aft,role,A role of an information content entity that is meant to describe an object. [Allotrope],,,,contextual role,http://purl.allotrope.org/ontologies/role#AFRL_0000053
descriptive statistic,,aft,result,A descriptive statistic is a summary statistic that quantitatively describes or summarizes features of a collection of information. [Wikipedia],,https://en.wikipedia.org/wiki/Descriptive_statistics,,statistical facet,http://purl.allotrope.org/ontologies/result#AFR_0001212
descriptive statistics,,aft,process,Descriptive statistics is the process of using and analyzing descriptive statistics. A descriptive statistic is a summary statistic that quantitatively describes or summarizes features of a collection of information. [Wikipedia],,https://en.wikipedia.org/wiki/Descriptive_statistics,,describing,http://purl.allotrope.org/ontologies/process#AFP_0003636
designative purpose,designative role,aft,role,A designative purpose is a type of contextual role of information artifacts that denote an entity in order to describe its characteristics. [Allotrope],,,,contextual role,http://purl.allotrope.org/ontologies/role#AFRL_0000060
destination datum,destination role; destination,aft,role,Destination is the contextual role of an information object that is about the spatio-temporal location at the end of a process that changes it. [Allotrope],,,,spatio-temporal role,http://purl.allotrope.org/ontologies/role#AFRL_0000263
destination role,destination site; destination,aft,role,Destination role is the localization role of a site where the localized object is at the end of the localization process. [Allotrope],,,,localization role,http://purl.allotrope.org/ontologies/role#AFRL_0000451
detecting,detection,aft,process,"Detecting is observing the presence of an entity. This occurs when a threshold value of a quantity (quality, disposition, process property) is exceeded. [Allotrope]",,https://jcgm.bipm.org/vim/en/3.9.html,,observing,http://purl.allotrope.org/ontologies/process#AFP_0000925
detecting state,detecting; is detecting,aft,process,A detecting state is a state that occurs when a detector detects its detection target. [Allotrope],,,,sensing state,http://purl.allotrope.org/ontologies/process#AFP_0003664
detection bandwidth,,detection,quality,Detection bandwidth is a device setting of a detector controlling the bandwidth of the detection wavelength. [Allotrope],,,,detector configuration,http://purl.allotrope.org/ontologies/quality#AFQ_0000198
detection duration setting,,detection,result,A detection duration setting is a setting specifies the total duration of a detection process. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0001648
detection role,,aft,role,The role of a participant in a detecting process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000291
detection stimulant role,detection stimulant,aft,role,A role inhered when the presence of the bearer indicates the presence of the detection target in a detection process. [Allotrope],,,,detection role,http://purl.allotrope.org/ontologies/role#AFRL_0000097
detection target role,detection target,aft,role,The role inhered by being the objective of a detecting activity. [Allotrope],,,,detection role,http://purl.allotrope.org/ontologies/role#AFRL_0000292
detection type,,afo,result,A detection type is a classification datum that classifies the type of detection performed by the detector.. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002534
detection wavelength,,detection,quality,A detection wavelength quality is a device setting which determines the wavelength range that a detector of electromagnetic radiation detects. [Allotrope],,,,detector configuration,http://purl.allotrope.org/ontologies/quality#AFQ_0000029
detector,,aft,equipment,Any piece of apparatus used to detect an analyte. [CHMO],,,,observation device; device,http://purl.allotrope.org/ontologies/equipment#AFE_0000317
detector bandwidth setting,,detection,result,A detector bandwidth setting is a control setting that specifies the bandwidth of a particular signal to be measured by the detector. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0002477
detector carriage speed setting,carriage speed setting,plate-reader,result,A detector carriage speed setting is a control setting that specifies the speed of a detector carriage. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002453
detector configuration,detector setting,detection,quality,A detector configuration is a device configuration of a detector. [Allotrope],,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000199
detector control aggregate document,,afo,result,A detector control aggregate document is a document that aggregates detector control documents. [Allotrope],,,,device control aggregate document,http://purl.allotrope.org/ontologies/result#AFR_0002527
detector control document,,afo,result,A detector control document is a document that encompasses the information associated with control of a detector. [Allotrope],,,,device control document,http://purl.allotrope.org/ontologies/result#AFR_0002528
detector distance setting (foam qualification),base distance,foam-qualification,result,A detector distance setting is the distance between the ultrasonic sensor of the foam qualification device and the bottom of a test container during a baseline measurement. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002611
detector distance setting (plate reader),detector distance setting,plate-reader,result,A detector distance setting is a control setting that specifies the distance between the detector and the scanned plate. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002451
detector gain,,detection,quality,The detector gain is a (relative) amount by which a detector to increases the magnitude of a signal from the input to the output port by adding energy to the signal. [Allotrope],,,,detector configuration,http://purl.allotrope.org/ontologies/quality#AFQ_0000293
detector gain setting,,detection,result,A detector gain setting is setting that specifies the gain of the detector. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0002250
detector identifier,,afo,result,A detector identifier is a measurement device identifier that identifies some detector. [Allotrope],,,,measurement device identifier,http://purl.allotrope.org/ontologies/result#AFR_0002490
detector model number,,afo,result,A detector model number is a model number that denotes some class of detectors. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002489
detector offset setting,,detection,result,A detector offset setting is a detector setting parameter that adds the specified value to its output signal.  It is often used to avoid negative signal values. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0001249
detector relative offset setting,,detection,result,A detector relative offset setting is a detector setting that specifies the offset of the signals of two detectors to align them along the x-axis. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0002651
detector role,detector,aft,role,The detector role is a detection role of a material entity that is detecting some other entity. [Allotrope],,,,detection role,http://purl.allotrope.org/ontologies/role#AFRL_0000340
detector sampling rate setting,detection sampling rate; sampling rate setting; sampling frequency; acquisition rate; detector rate setting; sampling rate,detection,result,A detector sampling rate setting is a detector setting parameter that specifies the rate at which the detector changes its output signal.  It is limited by the actual physical/chemical process of detection and the detector electronics.  Often the sample rate is set lower than the maximum sampling rate so that adjacent data points can be averaged to provide better signal to noise. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0001250
detector scan range setting,scan range setting,detection,result,A detector scan range setting is a detector setting that sets the wavelength range of scans as well as the increment between different scans. [Allotrope],,,A scan range from 280 to 700 nm with an increment of 2 nm from one scan to the next.,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0001542
detector scan rate setting,detector scan rate; detection scan rate,detection,result,A detector setting that sets the frequency of scans per time unit. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0001957
detector setting,,detection,result,A detector setting is a setting that specifies a detector configuration. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001247
detector signal,,afo,result,A detector signal is a signal that is produced by a detector that signals the presence or magnitude of the entity observed by the detector. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002546
detector type,,afo,result,A detector type is a classification datum that describes the detector type. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002253
detector view volume,,detection,result,A detector view volume is a quality quantification facet that quantifies the volume of material visible to the detector at the point of measurement. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002491
detector wavelength setting,,detection,result,A detector wavelength setting is a control setting that specifies the wavelength of a particular signal to be measured by the detector. [Allotrope],,,,detector setting,http://purl.allotrope.org/ontologies/result#AFR_0002456
detergent,,aft,realizable,A surfactant (or a mixture containing one or more surfactants) disposed to having cleaning properties in dilute solutions. [ChEBI],,,,surfactant,http://purl.allotrope.org/ontologies/realizable#AFRE_0000012
detergent role,detergent,aft,role,A detergent role is a cleaning role of a surface active agent (or a mixture containing one of more surface active agents) having cleaning properties in dilute solution. [IUPAC],,"PAC, 1972, 31, 577 (Manual of Symbols and Terminology for Physicochemical Quantities and Units, Appendix II: Definitions, Terminology and Symbols in Colloid and Surface Chemistry) on page 612",,cleaning role,http://purl.allotrope.org/ontologies/role#AFRL_0000223
deuterium lamp,,uv,equipment,A deuterium lamp is a low-pressure gas-discharge light source that emits light with a continuous spectrum mainly in the ultraviolet region. [Wikipedia],,,,UV lamp,http://purl.allotrope.org/ontologies/equipment#AFE_0001772
deviation,,afo,result,A deviation is a quantification facet that quantifies the absolute or relative difference of an observed value from another value. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002204
device,engineered artifact,aft,equipment,A device is an artifact that is designed to perform a function primarily by means of its mechanical or electrical nature. [Allotrope],,,,artifact,http://purl.allotrope.org/ontologies/equipment#AFE_0000354
device acquisition method,instrument acquisition method; device method; instrument method; acquisition method,afo,result,A device acquisition method is a machine readable plan specification that specifies how the acquisition software of an instrument is to execute the instrument's portion of an analysis. [Allotrope],,,,device method,http://purl.allotrope.org/ontologies/result#AFR_0002045
device control aggregate document,,afo,result,A device control aggregate document is a document that aggregates device control documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002722
device control document,,afo,result,A device control document is a document that encompasses the information associated with control of a device. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002723
device document,,afo,result,A device document is a document that encompasses the information associated with a device. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002567
device identifier,instrument id; machine identifier; machine id; equipment identifier; instrument identifier; equipment id; device id,afo,result,A device identifier is an identifier that identifies some device. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002018
device method,instrument method,afo,result,A device method is a plan specification that specifies how some process is to be executed on a device. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001556
device method identifier,instrument id; instrument method identifier; device id,afo,result,A device method identifier is an identifier that identifies the device method used in a process. [Allotrope],,,,method identifier,http://purl.allotrope.org/ontologies/result#AFR_0002016
device process,instrument process,afo,process,A device process is a planned process that realizes a function by a device or device system. [Allotrope],A device process focuses on an implementation perspective.,,,,http://purl.allotrope.org/ontologies/process#AFP_0003726
device region,,aft,equipment,A site that is related to a device. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0001028
device response signal,,afo,result,A device response signal is a signal that is sent by some device as a result of some prior communication. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002604
device system,system,system,equipment,An artificial system that is mainly composed of devices. [Allotrope],,,,artificial system,http://purl.allotrope.org/ontologies/equipment#AFE_0000074
device system document,,afo,result,A device system document is a document that encompasses the information associated with a device system. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002526
device type,,afo,result,A device type is a classification datum that classifies the type of device used. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002568
diagnostic trace,diagnostic profile,aft,result,A diagnostic trace is a data distribution function that records the output of some diagnostic monitoring process over time. [Allotrope],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0001664
diagnostic trace aggregate document,,afo,result,A diagnostic trace aggregate document is a document that aggregates diagnostic trace documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002705
diagnostic trace document,,afo,result,A diagnostic trace document is a document that encapsulates the information associated with a diagnostic trace. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002706
diagram,,aft,"",A figure that expresses one or more propositions. [IAO],,,"A molecular structure ribbon cartoon showing helices, turns and sheets and their relations to each other in space.",figure,http://purl.obolibrary.org/obo/IAO_0000309
diameter,diameter (datum),aft,result,Diameter is a length which is equal to the length of any straight line segment that passes through the center of a circle and whose endpoints are on the circular boundary. [PATO],,,,length,http://purl.allotrope.org/ontologies/result#AFR_0002107
diameter (quality),diameter,aft,"",A length quality which is equal to the length of any straight line segment that passes through the center of a circle and whose endpoints are on the circular boundary. [PATO],,,,length (quality),http://purl.obolibrary.org/obo/PATO_0001334
diastereomeric excess,,aft,quality,The absolute value of the mole fraction for one diastereomer in a mixture minus the mole fraction for the other. [CHMO],,,,stereochemical composition,http://purl.allotrope.org/ontologies/quality#AFQ_0000217
diastereomeric ratio,,aft,quality,The ratio of the percentage of one diastereomer in a mixture to that of the other. [CHMO],,doi:10.1359/goldbook.D01681,,stereochemical composition,http://purl.allotrope.org/ontologies/quality#AFQ_0000218
dictionary,,datacube-hdf-mapping,datacube-hdf-map,A BidiMap is a data structure that allows a bidirectional lookup a value by a key. [Allotrope],,,,,http://purl.allotrope.org/ontologies/datacube-hdf-map#BidiMap
dielectric polarization,,afo,result,The electric displacement vector and the product of the electric field strength with the permittivity of vacuum. [IUPAC],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002640
dielectric polarization (quality),dielectric polarization,aft,quality,Dielectric polarization is the quality inhered in a dielectric that is the difference between the electric displacement vector and the product of the electric field strength with the permittivity of vacuum. [IUPAC],,"IUPAC. Compendium of Chemical Terminology, 2nd ed. (the ""Gold Book""). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).",,electrical and magnetic quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000348
dielectric polarization field frequency setting,,afo,result,A dielectric polarization field frequency setting is a control setting that specifies the frequency of the electrical field used for dielectric polarization of a sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002620
dielectric polarization measurement,measurement of dielectric polarization; sensing of dielectric polarization; dielectric polarization sensing,aft,process,A dielectric polarization measurement is a measuring of the difference between the electric displacement vector and the product of the electric field strength with the permittivity of vacuum. [IUPAC],,,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0003829
dielectrometry,,aft,process,The measurement of the relative permittivity of a solution as a function of concentration. Measurements are made indirectly across the resistance of the solution with alternating current. [CHMO],,,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0001650
difference datum role,difference datum; difference value,aft,role,A difference datum role is a relative datum role that expresses the relative magnitude as a difference or interval of the magnitude of the subject to that of the reference entity. [Allotrope],,,,relative datum role,http://purl.allotrope.org/ontologies/role#AFRL_0000313
differential count,differential count (datum); differential count datum,afo,result,A differential count is a count that has non-negative integer values that is about the number of discrete things within a defined range. [Allotrope],,,,count,http://purl.allotrope.org/ontologies/result#AFR_0002494
differential optical absorption spectrophotometry,differential optical absorption spectroscopy; differential optical absorption spectrometry; differential optical absorbance spectrometry; differential optical absorbance spectroscopy; DOAS,uv,process,Ultraviolet-visible spectroscopy where the difference between incident and transmitted radiation is measured for a gaseous sample. [CHMO],,,,ultraviolet-visible spectrophotometry,http://purl.allotrope.org/ontologies/process#AFP_0000872
differential particle density,,afo,result,A differential particle density is a summary datum that quantifies the number density of particles within a specified range criterion. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002496
differential particle density (quality),,aft,quality,A differential particle density is the number density of particles within a specified range criterion. [Allotrope],,,,particle density (quality),http://purl.allotrope.org/ontologies/quality#AFQ_0000329
differential scanning calorimeter,,differential-scanning-calorimetry,equipment,A device that is used to measure the heat of chemical reactions or physical changes for both a sample and a reference. [CHMO],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000733
differential scanning calorimetry,differential scanning calorimetric (DSC) analysis; differential scanning calorimetric analysis; DSC,aft,process,Differential scanning calorimetry is a thermal analysis method in which the difference in energy inputs into a substance and a reference material is measured as a function of temperature whilst the substance and reference material are subjected to a controlled temperature program. [IUPAC],,"IUPAC. Compendium of Chemical Terminology, 2nd ed. (the ""Gold Book""). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997). Online version (2019-) created by S. J. Chalk. ISBN 0-9678550-9-8. https://doi.org/10.1351/goldbook.",,scanning calorimetry,http://purl.allotrope.org/ontologies/process#AFP_0002124
differential scanning calorimetry,differential scanning calorimetric (DSC) analysis; differential scanning calorimetric analysis; DSC,aft,process,Differential scanning calorimetry is a thermal analysis method in which the difference in energy inputs into a substance and a reference material is measured as a function of temperature whilst the substance and reference material are subjected to a controlled temperature program. [IUPAC],,"Nomenclature for thermal analysis - IV (Recommendations 1985), Mackenzie, R.C., Pure and Applied Chemistry 1985, 57(11), 1737",,scanning calorimetry,http://purl.allotrope.org/ontologies/process#AFP_0002124
differential scanning calorimetry curve,DSC curve; DSC thermogram; DSC heating curve; DSC thermograms; DSC plot,aft,result,A plot of enthalpy vs. temperature obtained by measuring the enthalpy required to increase the temperature of a sample as a function of temperature. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000007
differential scanning calorimetry cycle,DSC cycle; cycle for DSC,differential-scanning-calorimetry,process,A cycle in differential scanning calorimetry is a segment of the calorimetry run with its own specific heating ramp. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003763
differential scanning calorimetry pan,,differential-scanning-calorimetry,equipment,A differential scanning calorimetry pan is a pan for use in a differential scanning calorimeter that contains the sample under investigation. [Allotrope],,,"TZero pan, TZero hermetic pan",,http://purl.allotrope.org/ontologies/equipment#AFE_0001622
differential scanning calorimetry peak,,differential-scanning-calorimetry,result,A  differential scanning calorimetry peak is a peak that is the result of a differential scanning calorimetry (DSC) and part of a DSC curve. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000647
differential scanning calorimetry result,DSC result,differential-scanning-calorimetry,result,The differential scanning calorimetry result is the result of a DSC measurement. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000682
differential scanning calorimetry role,DSC role,differential-scanning-calorimetry,role,A differential calorimetry role is a role of a material entity realized in a differential scanning calorimetry process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000526
differentiation,,aft,process,The method to obtain the derivative of a function or curve. [Allotrope],,,,calculation,http://purl.allotrope.org/ontologies/process#AFP_0001499
diffuse reflectance ultraviolet-visible spectrophotometry,diffuse reflectance UV-vis spectroscopy; diffuse reflectance UV-visible; UV-vis-DRS; UV-vis-diffuse reflectance spectroscopy,uv,process,A type of spectroscopy where the diffuse reflection of radiation in the range ultraviolet to visible (190-800 nm) by a sample is measured. [CHMO],,,,ultraviolet-visible spectrophotometry,http://purl.allotrope.org/ontologies/process#AFP_0000391
diffuse reflection,,aft,process,"Diffuse reflection is the reflection of light or other waves or particles from a surface such that a ray incident on the surface is scattered at many angles rather than at just one angle as in the case of specular reflection. An ideal diffuse reflecting surface is said to exhibit Lambertian reflection, meaning that there is equal luminance when viewed from all directions lying in the half-space adjacent to the surface. [Wikipedia]",,https://en.wikipedia.org/wiki/Diffuse_reflection,,reflection,http://purl.allotrope.org/ontologies/process#AFP_0003593
digest,,audit,audit,A digest is the bitstream of applying a digest method on a bitstream. [Allotrope],,,,,http://purl.allotrope.org/ontologies/audit#Digest
digest algorithm,,audit,audit,A digest algorithm is a function that maps data of arbitrary size to data of fixed size by a hashing function. [Allotrope],,,,algorithm,http://purl.allotrope.org/ontologies/audit#DigestAlgorithm
digest method,,audit,audit,A digest method maps data of arbitrary size to data of fixed size. [Allotrope],,,,,http://purl.allotrope.org/ontologies/audit#DigestMethod
digital signature,,audit,audit,"Digital signature means an electronic signature based upon cryptographic methods of originator authentication, computed by using a set of rules and a set of parameters such that the identity of the signer and the integrity of the data can be verified. [FDA]",,http://www.ecfr.gov/cgi-bin/retrieveECFR?gp=&SID=f86d6109af312153acbfc58dd94fcf30&mc=true&n=pt21.1.11&r=PART&ty=HTML,,electronic signature,http://purl.allotrope.org/ontologies/audit#DigitalSignature
dihydrogen (molecule),,molecular-scale,"",An elemental molecule consisting of two hydrogens joined by a single bond. [CHEBI],,,,molecule,http://purl.obolibrary.org/obo/CHEBI_18276
dilatometry,,aft,process,"The measurement and study of dimensional changes in polymers as a function of temperature, fluid absorption, mechanical stress or chemical reaction. [CHMO]",,,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0000373
diluent role,diluent,aft,role,Diluent is a role of material used to lessen the strength or flavor of a solution or mixture of another ingredient. [NCI],,,,dilution role,http://purl.allotrope.org/ontologies/role#AFRL_0000224
diluted,,aft,"",A concentration which is relatively low. [PATO],,,,concentration (quality),http://purl.obolibrary.org/obo/PATO_0001161
diluted material role,,aft,role,Diluted material is the dilution role of a material that is being diluted in the dilution process. [Allotrope],,,,dilution role,http://purl.allotrope.org/ontologies/role#AFRL_0000489
